Component,Quantity,Est. Cost (USD),Purchase Links
Custom PCBs (JLCPCB),2 Sets,$15.00,https://jlcpcb.com/quote
Raspberry Pi Pico,1,$5.00,https://ln.run/yanB3
TCRT5000 Transceivers,16,$4.00,https://ln.run/hACwF
SMD Passives (0805),32,$2.00,https://ln.run/qddHJ
SPDT Limit Switches,2,$1.00,https://ln.run/QSFtx
TB6612FNG Module,1,$3.00,https://ln.run/ssqYa
6V N20 Motors (600 RPM),4,$50.00,https://ln.run/JM7nX
N20 Wheels & Brackets,4,$6.00,https://ln.run/CkKDZ ---- https://ln.run/MqKmx
2S Battery (7.4V),1,$3.00,https://ln.run/iZsS-
Power Modules,2,$2.00,https://ln.run/E-0I9 ---- https://ln.run/bBDg-
Misc. Hardware,1,$5.00,N/A
Total Build Cost:,,~$96.00 USD,
